"Theodor Geisel's children's books, including ""The Cat in the Hat,""",are most commonly written in what type of verse?,Trochaic pentameter,Anapestic tetrameter,Iambic tetrameter,Dactylic hexameter,2,12,237
"John Lennon's first wife, who penned the 2005 memoir ""John""","about her life with the former Beatle, has what first name?",Kristin,Cynthia,Diane,Patricia,2,10,238
Which of these McDonalds's menu items was not,introduced in the 1990s?,McDLT,Arch Deluxe,Fajita Chicken Salad,McLean Deluxe,1,11,239
"What animal's eyes are the largest in the animal kingdom,",measuring up to 20 inches wide?,Giant squid,Komodo dragon,Blue whale,African elephant,1,12,240
"The first Miss Universe, crowned in 1952,",was a woman from what country?,France,Thailand,Brazil,Finland,4,13,241
Whose New York Times obituary mentioned that,"""Since 1889"" he ""had been hopelessly insane""?",Vincent van Gogh,Franz Kafka,Johannes Brahms,Friedrich Nietzsche,4,11,242
"To the nearest cent, the Bureau of Engraving and Printing spends",an average of how much to make each currency note in circulation?,2 cents,4 cents,6 cents,8 cents,3,12,243
"The title of the TV series ""Will & Grace"" was inspired","by what philosopher's famous ""I and Thou"" treatise?",Michel Foucault,Martin Heidegger,Martin Buber,Ludwig Wittgenstein,3,13,244
"Khrushchev's famous 1960 ""shoe-banging"" outburst at the",U.N. was in response to a delegate from what nation?,Australia,The Netherlands,The Philippines,Turkey,3,13,245
"In 1985, who teamed up with Hulk Hogan to win the",first WrestleMania main event?,Lou Ferrigno,Jesse Ventura,Dolph Lundgren,Mr. T,4,9,246
Galena ore is mined primarly to obtain,which of these metals?,Platinum,Iron,Lead,Aluminum,3,10,247
Which of these famous people was never married to,his first cousin?,Albert Einstein,Charles Darwin,Edgar Allan Poe,Salvador Dali,4,10,248
What was the original title of Buddy Holly's,"famous song ""Peggy Sue""?",Cindy Lou,Barbara Sue,Bobbie Sue,Mary Lou,1,11,249
The mud-covered bassist of what band was mistakenly,attacked by security during Woodstock 1994?,Green Day,Spin Doctors,Porno for Pyros,Primus,1,11,250
What U.S. president is commonly credited with,inventing the swivel chair?,Abraham Lincoln,Thomas Jefferson,Andrew Jackson,James Monroe,2,10,251
Iraq does not share a border with which of these,Middle Eastern countries?,Syria,Lebanon,Jordan,Saudi Arabia,2,10,252
The two official mascots of the 2006 Olympic Winter Games,"were Neve, a female snowball, and Gliz, a male what?",Ice cube,Snowshoe,Mitten,Mug of cocoa,1,11,253
"Of the planets in our solar system, where does",Earth rank in terms of size?,Fourth-largest,Fifth-largest,Sixth-largest,Seventh-largest,2,12,254
What country's ruling monarch is a five-time,member of his country's Olympic bobsled team?,Belgium,Monaco,Luxembourg,Norway,2,10,255
"In addition to his thesaurus, Peter Mark Roget",is also known for inventing a type of what?,Syringe,Card game,Cheese,Slide rule,4,10,256
"What company's original name, ""Cadabra,"" was abandoned","because the founder thought it might be confused with ""cadaver""?",Amazon.com,Netflix,Google,Expedia.com,1,11,257
"Named after pilot Chuck Yeager's wife, the Bell X-1 plane",that first broke the sound barrier in 1947 was dubbed what?,Bewitching Beatrix,Glamorous Glennis,Radiant Rhonda,Dazzling Darlene,2,11,258
"With a population of about 4,500, what Alaska town",is the northernmost community in the United States?,Deadhorse,Coldfoot,Barrow,Nome,3,12,259
"In their best-selling advice books, ""The Beardstown Ladies""",claimed to have abnormal success with what?,Finding romance,Losing weight,Picking stocks,Maintaining youth,3,5,260
Anthracite is a highly pure form of what substance?,EMPTY,Coal,Marble,Iron,Quartz,1,6,261
"According to superstition, garlic worn around the",neck protects a person from which of the following?,Werewolves,Bad weather,Vampires,Lasting relationships,3,0,262
Which of these insects is closely related,to the grasshopper?,Ladybug,Wasp,Butterfly,Cricket,4,1,263
"On July 20, 1969, Neil Armstrong famously said,","""The Eagle has"" what?",Flown,Landed,Triumphed,Arrived,2,2,264
"In the Bible, God reveals himself to Moses",in the form of a what?,Fruit tree,Snake,Burning bush,Golden calf,3,3,265
What credit card's classic ads featured,"celebrities asking, ""Do you know me?""?",American Express,MasterCard,Visa,Diner's Club,1,4,266
"In 2001, Andre Agassi married what women's tennis",star in a private Las Vegas ceremony?,Lindsay Davenport,Jennifer Capriati,Martina Hingis,Steffi Graf,4,5,267
The historic Ford's Theatre is located in,what U.S. city?,"Washington, D.C.",Chicago,Philadelphia,Richmond,1,6,268
American tycoon Andrew Carnegie made his fortune,in what industry?,Oil,Fur,Steel,Real estate,3,7,269
What John Waters movie was adapted into,a hit Broadway musical that opened in 2002?,Hairspray,Cry-Baby,Polyester,Pink Flamingos,1,8,270
What is the highest level in the Hindu caste system?,EMPTY,Sudra,Kshatriya,Vaisya,Brahman,4,9,271
What type of animal is a snook?,EMPTY,Bird,Fish,Lizard,Insect,2,10,272
Which of these projectiles is normally,shot from a slingshot?,Stone,Arrow,Cannonball,Raytheon MIM-23 Missile,1,0,273
"From 1994 to 2001, Rudy Giuliani served as",the 107th mayor of what city?,"Washington, D.C.",Chicago,Boston,New York City,4,1,274
Which of these utensils is commonly,used to stir-fry foods?,Wok,Crockpot,Colander,Rotisserie,1,2,275
Which of these animal names is also,a term often used to refer to a spy?,Bull,Mole,Flea,Tiger,2,3,276
The olive branch is an ancient symbol of what?,EMPTY,Knowledge,Peace,Wealth,Strength,2,4,277
A Zamboni is a machine used to do what?,EMPTY,Reset bowling pins,Shoot tennis balls,Trim golf greens,Resurface ice rinks,4,5,278
"The 1995 movie ""The Usual Suspects"" takes",its title from a famous line in what movie?,Casablanca,The Godfather,Cool Hand Luke,North by Northwest,1,6,279
"In the game of chess, which of these pieces is",never able to move diagonally?,Pawn,King,Queen,Rook,4,7,280
"On the TV series ""Everybody Loves Raymond,""",Raymond and his wife have a total of how many children?,One,Two,Three,Four,3,8,281
What rock group is named after a gym teacher who,taught at the original band members' high school?,The Byrds,Lynyrd Skynyrd,Jefferson Airplane,Pink Floyd,2,9,282
The flu vaccine is not recommended for people,who are very allergic to what food?,Peanuts,Eggs,Milk,Honey,2,10,283
Anti-Communist leader Joseph McCarthy,served as a U.S. Senator for what state?,Illinois,Kentucky,Wisconsin,Ohio,3,11,284
"Published in 1936, the first issue of Life magazine had",a Margaret Bourke-White photo of a what on its cover?,Dam,Flower garden,Volcano,Lighthouse,1,12,285
"""And ye shall know the truth and the truth shall make you free""",is inscribed in the lobby of what agency's headquarters?,FBI,CIA,Department of Education,Library of Congress,2,13,286
"The U.S. icon ""Uncle Sam"" was based on Samuel Wilson,",who worked during the War of 1812 as a what?,Meat inspector,Mail deliverer,Historian,Weapons mechanic,1,13,287
Which of the following is a calculator typically used for?,EMPTY,Robbing,Leveling,Estimating,Warming up,3,0,288
Which of the following is a place where fishes are shown?,EMPTY,Colosseum,Aquarium,Magnesium,Lead,2,1,289
Nurul Huda and Jeffrey Ong are known,for their prowess in which sport?,Archery,Swimming,Tennis,Golf,2,9,290
"What is the name of the famous canal, built in the Malaysian","state of Kedah, between Alor Setar and Guar Chempedak?",Mat Bayar,Mat Denda,Mat Saman,Mat Jerai,3,13,291
What is the name of the 1997 film directed by Malaysian,comedian Harith Iskander?,Hanya Aku,Layar Lara,Puteri Impian,Hanya Kawan,4,12,292
In what year was Hong Kong handed over to the,People's Republic of China by the United Kingdom?,1999,1993,1997,1990,3,9,293
What is the real name of Malaysian cartoonist Lat? ,EMPTY,Mohd Nor Ali,Mohd Nor Khalid,Mohd Nor Razif,Mohd nor Lokman,2,13,294
Who is the only member of the Beatles to have never,performed on a Jerry Lewis Labor Day Telethon?,Paul McCartney,Ringo Starr,George Harrison,John Lennon,3,12,295
"In the 1890s, heroin was introduced commercially to",the U.S. by Bayer as a remedy for what ailment?,Stiff joints,High fever,Stuffy head,Persistent cough,4,12,296
Which of these ships was not one of the three taken,over by colonists during the Boston Tea Party?,Eleanor,Dartmouth,Beaver,William,4,13,297
Which of these animals is not a snake?,EMPTY,Asp,Mamba,Boomslang,Koala,4,8,298
"In the game of scrabble, how many points is the",letter 'Z' worth?,Eight,Nine,Ten,Eleven,3,9,299
What is the name of the dominant male ape in the,"2014 action movie ""Dawn of the Planet of the Apes""?",Malcolm,Caeser,Brutus,Alexander,2,10,300
Who was the first African American woman to travel,to space?,Eileen Collins,Sally Ride,Mae Jemison,Barbara Morgan,3,11,301
"A General Electric plant in Schenectady, New York",has what unusually numbered ZIP Code?,12345,22222,11111,54321,1,13,302
"If the tank in a centrifugal pump rotates too fast, the pump",efficiency can drop due to which of the following phenomena?,Arcing,Phosphene,Cavitation,Multicollinearity,3,12,303
"Colonized in the 16th century, what country took its name",from the first name of the king of Spain?,Edwardor,Kevinzuela,The Philippines,Stuganda,3,0,304
"Considered the world's largest musical instrument,",the Great Stalacpipe Organ plays music exclusively where?,Under water,Under the night sky,In a jungle,In a cave,4,5,305
"Because it does not officially recognize Greek life, what school's","""eating clubs"" serve as a substitute for fraternities and sororities?",Cornell,Brown,Dartmouth,Princeton,4,9,306
Bill Gates once said that both Apple and Microsoft had stolen,from what tech company that developed the mouse?,Hewlett-Packard,Xerox,Intel,IBM,2,10,307
Which of the following ships uses magnetohydrodynamic,propulsion technology?,Quantum of the Seas,USS Nimitz,Yamato I,Spirit of Australia,3,10,308
